CYCLE,CMTE_ID,AMNDT_IND,REPORT_TYPE,TRANSACTION_PGI,IMAGE_NUM,TRANSACTION_TYPE,ENTITY_TYPE,NAME,CITY,STATE,ZIP,EMPLOYER,OCCUPATION,TRANSACTION_DATE,TRANSACTION_AMOUNT,OTHER_ID,TRANSACTION_ID,FILE_NUM,MEMO_CODE,MEMO_TEXT,SUB_ID
2000,C00347203,A,YE,,20035251884.0,15,,"SPIKER, SCOTT",MINNETONKA BEACH,MN,55391,DAIN RAUSCHER,,12091999.0,1000,,,,,,3061920110006639265
2000,C00347203,A,YE,,20035251884.0,15,,"SPIKER, SCOTT",MINNETONKA BEACH,MN,55391,DAIN RAUSCHER,,12091999.0,1000,,,,,,3061920110006639266
2000,C00347203,A,YE,,20035251867.0,15,,"DAGGETT, THOMAS",HUTCHINSON,MN,55350,HUTCHINSON MANUFACTURING,,12171999.0,250,,,,,,3061920110006637203
2000,C00347203,A,YE,,20035251867.0,15,,"DAHLBERG, KENNETH",WAYZATA,MN,55391,RETIRED,,10061999.0,1000,,,,,,3061920110006637204
2000,C00347203,A,YE,,20035251867.0,15,,"DIETZ, CHARLTON",AVERY,WI,54001,RETIRED,,11261999.0,500,,,,,,3061920110006637205
2000,C00347203,A,YE,,20035251868.0,15,,"DOBBS, JEFFREY",MEDINA,MN,55340,PROSTAFF,,12311999.0,1000,,,,,,3061920110006637206
2000,C00347203,A,YE,,20035251868.0,15,,"DOBBS, JEFFREY",MEDINA,MN,55340,PROSTAFF,,12311999.0,500,,,,,,3061920110006637207
2000,C00347203,A,YE,,20035251868.0,15,,"DOBBS, KAY",MEDINA,MN,55340,HOMEMAKER,,12311999.0,1000,,,,,,3061920110006637208
2000,C00347203,A,YE,,20035251868.0,15,,"DOBBS, KAY",MEDINA,MN,55340,HOMEMAKER,,12311999.0,500,,,,,,3061920110006637209
2000,C00347203,A,YE,,20035251868.0,15,,"DUDLEY, JIM",WAYZATA,MN,55391,INVESTOR,,12291999.0,500,,,,,,3061920110006637210
2000,C00347203,A,YE,,20035251868.0,15,,"DUDLEY, MARIANNE",WAYZATA,MN,55391,HOMEMAKER,,12131999.0,1000,,,,,,3061920110006637211
2000,C00347203,A,YE,,20035251868.0,15,,"DUDLEY, MARIANNE",WAYZATA,MN,55391,HOMEMAKER,,12131999.0,1000,,,,,,3061920110006637212
2000,C00347203,A,YE,,20035251869.0,15,,"DUDLEY, TED",WAYZATA,MN,55391,RETIRED,,12131999.0,1000,,,,,,3061920110006637213
2000,C00347203,A,YE,,20035251869.0,15,,"DUDLEY, TED",WAYZATA,MN,55391,RETIRED,,12131999.0,1000,,,,,,3061920110006637214
2000,C00347203,A,YE,,20035251869.0,15,,"FAULCONBRIDGE, JAMES",MAPLEWOOD,MN,55117,KARGES/FAULCONBRIDGE INC,,8231999.0,500,,,,,,3061920110006637215
2000,C00347203,A,YE,,20035251869.0,15,,"FAYFIELD, ROBERT",EXCELSIOR,MN,55331,BANNER ENGINEEING,,11111999.0,1000,,,,,,3061920110006637216
2000,C00347203,A,YE,,20035251869.0,15,,"FAYFIELD, ROBERT",EXCELSIOR,MN,55331,BANNER ENGINEEING,,11111999.0,1000,,,,,,3061920110006637217
2000,C00347203,A,YE,,20035251869.0,15,,"FINSAND, AMY",EDINA,MN,55439,CONSULTANT,,12291999.0,1000,,,,,,3061920110006637218
2000,C00347203,A,YE,,20035251869.0,15,,"FINSAND, AMY",EDINA,MN,55439,CONSULTANT,,12291999.0,1000,,,,,,3061920110006637219
2000,C00347203,A,YE,,20035251870.0,15,,"FINSAND, BERT",EDINA,MN,55439,FINSAND INVESTMENT ADVISORS LLC,,11231999.0,1000,,,,,,3061920110006637220
2000,C00347203,A,YE,,20035251870.0,15,,"FINSAND, BERT",EDINA,MN,55439,FINSAND INVESTMENT ADVISORS LLC,,11231999.0,1000,,,,,,3061920110006637221
2000,C00347203,A,YE,,20035251870.0,15,,"FREDERICK, DAN",WAYZATA,MN,55391,RETIRED,,9141999.0,500,,,,,,3061920110006637222
2000,C00347203,A,YE,,20035251870.0,15,,"GOERGES, AGNES",PEQUOT LAKES,MN,56472,PEQUOT TOOL AND DIE,,10301999.0,1000,,,,,,3061920110006637223
2000,C00347203,A,YE,,20035251870.0,15,,"GOERGES, JOSEF",PEQUOT LAKES,MN,56472,PEQUOT TOOL AND DIE MANUFACTURING,,10301999.0,1000,,,,,,3061920110006637224
2000,C00347203,A,YE,,20035251870.0,15,,"GOODMAN, JOHN",CHASKA,MN,,SAGE COMPANY,,10251999.0,1000,,,,,,3061920110006637225
2000,C00347203,A,YE,,20035251884.0,15,,"STEARNS, ROGER",HUTCHINSON,MN,55350,STEARNS WOOD,,12281999.0,200,,,,,,3061920110006643390
2000,C00347203,A,YE,,20035251884.0,15,,"SULLIVAN, BRIAN",LONG LAKE,MN,55356,INVESTOR,,11241999.0,1000,,,,,,3061920110006643391
2000,C00347203,A,YE,,20035251885.0,15,,"SULLIVAN, BRIAN",LONG LAKE,MN,55356,INVESTOR,,11241999.0,1000,,,,,,3061920110006643392
2000,C00347203,A,YE,,20035251885.0,15,,"THEISEN, HAROLD",DELANO,MN,55328,GRIDOR CONSTRUCTION INC,,8291999.0,250,,,,,,3061920110006643397
2000,C00347203,A,YE,,20035251885.0,15,,"TALALIA, DOUG",WATERTOWN,MN,55388,ILLUSTRATION,,8291999.0,500,,,,,,3061920110006643396
2000,C00347203,A,YE,,20035251885.0,15,,"THOMPSON, DAVID",EDINA,MN,55439,US BANCORP,,10131999.0,1000,,,,,,3061920110006643398
2000,C00347203,A,YE,,20035251886.0,15,,"THOMPSON, MATTHEW L",EDINA,MN,55436,FAEGRE & BENSON,,12061999.0,300,,,,,,3061920110006643399
2000,C00347203,A,YE,,20035251886.0,15,,"THOMSON, BRUCE",EDINA,MN,55439,INVESTOR,,8171999.0,1000,,,,,,3061920110006643400
2000,C00347203,A,YE,,20035251886.0,15,,"VEIT, VAUGHN",BUFFALO,MN,55313,VEIT COMPANIES,,12261999.0,1000,,,,,,3061920110006643401
2000,C00347203,A,YE,,20035251886.0,15,,"WALDO, DAVID",MINNEAPOLIS,MN,55414,PRIVATE BANK MINNESOTA,,11301999.0,250,,,,,,3061920110006643402
2000,C00347203,A,YE,,20035251886.0,15,,"WALETZKO, CHUCK D",BLOOMINGTON,MN,55437,BRIDGING INC,,9171999.0,200,,,,,,3061920110006643403
